,Model Name,Train Score,Test Score,Recall,Precision,F1-Score,MSE
0,KNN,90.32633918757176,78.9420588872297,0.6838344067912333,0.8676956841907677,0.7648709708212683,0.21057941112770298
1,DecisionTree,92.68277192896748,87.19094463506104,0.8583945925032431,0.8826406440138538,0.8703487902527951,0.1280905536493896
2,RandomForest,94.1605803756809,89.6827658531581,0.8848744850815904,0.9068761225013412,0.8957402202460489,0.10317234146841907
3,XGBoost,92.63660568162389,91.4792481220149,0.8775461435171488,0.9484785870661452,0.9116346699451484,0.08520751877985112
4,Logistic Regression,75.07511175163047,74.95069932859894,0.7746307380686861,0.7381747598082804,0.7559634861407248,0.25049300671401054
